snapshot_date,principle,total_value
2014-01-20,45519.2,50864.8
2014-01-21,45519.2,51036.29
2014-01-22,48364.15,55123.03
2014-01-23,48364.15,55150.61
2014-01-24,48364.15,55238.34
2014-01-25,48364.15,55238.34
2014-01-26,48364.15,55238.34
2014-01-27,48364.15,54100.36
2014-01-28,48364.15,54171.49
2014-01-29,44096.73,49359.89
2014-01-30,44096.73,49075.39
2014-01-31,44096.73,49075.39
2014-02-01,44096.73,49075.39
2014-02-02,44096.73,49075.39
2014-02-03,44096.73,49075.39
2014-02-04,44096.73,49075.39
2014-02-05,44096.73,49075.39
2014-02-06,44096.73,49075.39
2014-02-07,44096.73,48961.59
2014-02-08,44096.73,48961.59
2014-02-09,44096.73,48961.59
2014-02-10,44096.73,50028.45
2014-02-11,45519.2,51582.08
2014-02-12,45519.2,52015.08
2014-02-13,45519.2,51963.16
2014-02-14,45519.2,52130.67
2014-02-15,45519.2,52130.67
2014-02-16,45519.2,52130.67
2014-02-17,45519.2,52378.32
2014-02-18,45519.2,51953.3
2014-02-19,45519.2,52624.99
2014-02-20,45519.2,51744.8
2014-02-21,45519.2,51721.88
2014-02-22,45519.2,51721.88
2014-02-23,45519.2,51721.88
2014-02-24,46941.68,51364.07
2014-02-25,46941.68,50056.21
2014-02-26,46941.68,49929.34
2014-02-27,46941.68,48859.61
2014-02-28,46941.68,49979.86
2014-03-01,46941.68,49979.86
2014-03-02,46941.68,49979.86
2014-03-03,46941.68,50558.32
2014-03-04,46941.68,50138.55
2014-03-05,46941.68,49557.04
2014-03-06,46941.68,50366.72
2014-03-07,46941.68,50125.58
2014-03-08,46941.68,50125.58
2014-03-09,46941.68,50125.58
2014-03-10,48364.15,50966.56
2014-03-11,48364.15,51748.15
2014-03-12,48364.15,51945.62
2014-03-13,48364.15,51929.15
2014-03-14,48364.15,51658.54
2014-03-15,48364.15,51658.54
2014-03-16,48364.15,51658.54
2014-03-17,49786.63,53769.53
2014-03-18,51209.1,54507.37
2014-03-19,52631.58,54735.77
2014-03-20,56899,58034.14
2014-03-21,56899,59447.27
2014-03-22,56899,59447.27
2014-03-23,56899,59447.27
2014-03-24,55476.53,58089.9
2014-03-25,54765.29,57367.57
2014-03-26,54765.29,57648.51
2014-03-27,54765.29,57155.03
2014-03-28,54765.29,57805.68
2014-03-29,54765.29,57805.68
2014-03-30,54765.29,57805.68
2014-03-31,54054.05,58056.58
2014-04-01,54054.05,58865.43
2014-04-02,53342.82,58191.38
2014-04-03,52631.58,57615.44
2014-04-04,52631.58,58194.11
2014-04-05,52631.58,58194.11
2014-04-06,52631.58,58194.11
2014-04-07,52631.58,58194.11
2014-04-08,51209.1,57863.01
2014-04-09,49786.63,56630.3
2014-04-10,49786.63,57254.2
2014-04-11,48364.15,56341.78
2014-04-12,48364.15,56341.78
2014-04-13,48364.15,56341.78
2014-04-14,46941.68,54916.62
2014-04-15,46941.68,53932.99
2014-04-16,46941.68,54216.5
2014-04-17,46941.68,53816.46
2014-04-18,46941.68,53719.77
2014-04-19,46941.68,53719.77
2014-04-20,46941.68,53719.77
2014-04-21,46941.68,53201.36
2014-04-22,46941.68,53348.03
2014-04-23,46941.68,53847.26
2014-04-24,46941.68,53824.52
2014-04-25,46941.68,53289.82
2014-04-26,46941.68,53289.82
2014-04-27,46941.68,53289.82
2014-04-28,46941.68,52712.45
2014-04-29,46941.68,53692.86
2014-04-30,46941.68,53396.43
2014-05-01,46941.68,53396.43
2014-05-02,46941.68,53396.43
2014-05-03,46941.68,53396.43
2014-05-04,46941.68,53396.43
2014-05-05,46941.68,53487.4
2014-05-06,46941.68,53463.73
2014-05-07,46941.68,52674.73
2014-05-08,46941.68,52767.13
2014-05-09,46941.68,53054.77
2014-05-10,46941.68,53054.77
2014-05-11,46941.68,53054.77
2014-05-12,46941.68,53560.86
2014-05-13,46941.68,53456.03
2014-05-14,46941.68,53025.19
2014-05-15,46941.68,53004.28
2014-05-16,46941.68,53241.25
2014-05-17,46941.68,53241.25
2014-05-18,46941.68,53241.25
2014-05-19,46941.68,52451.14
2014-05-20,46941.68,52630.1
2014-05-21,46941.68,52611.34
2014-05-22,46941.68,52369.67
2014-05-23,46941.68,52539.6
2014-05-24,46941.68,52539.6
2014-05-25,46941.68,52539.6
2014-05-26,46941.68,52486.23
2014-05-27,46941.68,52486.23
2014-05-28,46941.68,53566.48
2014-05-29,46941.68,53548.63
2014-05-30,46941.68,53670.83
2014-05-31,46941.68,53670.83
2014-06-01,46941.68,53670.83
2014-06-02,46941.68,53670.83
2014-06-03,46941.68,53972.31
2014-06-04,46941.68,53382.14
2014-06-05,46941.68,53836.21
2014-06-06,46941.68,53624.48
2014-06-07,46941.68,53624.48
2014-06-08,46941.68,53624.48
2014-06-09,46941.68,53093.66
2014-06-10,46941.68,53983.43
2014-06-11,46941.68,53884.79
